Feature,MeanAbsSHAP,Crop_Type
Soil_Quality,3.8595106746012253,Wheat
Temperature,14.511742570148705,Wheat
Humidity,7.924478867610787,Wheat
N,0.41833268815417846,Wheat
P,0.41107721980188855,Wheat
K,0.49520517413024145,Wheat
Soil_pH,0.4521221436900835,Wheat
Soil_Quality,2.761905775414971,Corn
Temperature,15.922573360578303,Corn
Humidity,10.789073010578056,Corn
N,0.9545225827610527,Corn
P,0.8076201528758973,Corn
K,0.8115888310442014,Corn
Soil_pH,0.1498299826662617,Corn
Soil_Quality,3.936934361135816,Rice
Temperature,20.298888588364974,Rice
Humidity,5.021116167568152,Rice
N,0.42266282043967207,Rice
P,0.613066214967815,Rice
K,0.5305117217264358,Rice
Soil_pH,0.30755757240864107,Rice
Soil_Quality,4.29579746863815,Barley
Temperature,17.275469703352506,Barley
Humidity,7.006948769037752,Barley
N,0.35184608189283323,Barley
P,0.4168796777293186,Barley
K,0.38895147482014353,Barley
Soil_pH,0.42755861754993574,Barley
Soil_Quality,3.0098066415255675,Soybean
Temperature,14.416311797546346,Soybean
Humidity,6.725142823294869,Soybean
N,0.7743832114479087,Soybean
P,0.5460063776965236,Soybean
K,0.7128651996896612,Soybean
Soil_pH,0.1654713079563383,Soybean
Soil_Quality,4.181475406258562,Cotton
Temperature,17.73254503532074,Cotton
Humidity,7.326573388717724,Cotton
N,0.677968030923822,Cotton
P,0.6485057408299236,Cotton
K,0.4186123407388132,Cotton
Soil_pH,0.29691749147811525,Cotton
Soil_Quality,3.6968964789008436,Sugarcane
Temperature,16.045295725460495,Sugarcane
Humidity,6.722271978191095,Sugarcane
N,0.5056772282449351,Sugarcane
P,0.5259425880276012,Sugarcane
K,0.5664697975099593,Sugarcane
Soil_pH,0.2677666784264552,Sugarcane
Soil_Quality,3.103204554114762,Tomato
Temperature,14.564581549652118,Tomato
Humidity,4.844777619341535,Tomato
N,0.3358859140703413,Tomato
P,0.5052589442913407,Tomato
K,0.5255648964024546,Tomato
Soil_pH,0.22614867274816375,Tomato
Soil_Quality,4.211987924793345,Potato
Temperature,12.781015873330075,Potato
Humidity,11.155901510421229,Potato
N,0.38806781126594214,Potato
P,0.2663236396128347,Potato
K,0.34343020248061046,Potato
Soil_pH,0.46984167306040825,Potato
Soil_Quality,3.34850521663116,Sunflower
Temperature,16.353560888349367,Sunflower
Humidity,7.476068284275437,Sunflower
N,0.8509481632363125,Sunflower
P,0.8695302488256382,Sunflower
K,0.7941707679382438,Sunflower
Soil_pH,0.2863730564842287,Sunflower
